augmented,original,category
"Every day, we collect our data and analyze it. This process lasted for 12 weeks.","We gather our  result daily, and we iterated over 3 months.",1
May 2020: First prototype successfully assembled., May 2020 : First prototype assembled ,1
May 2020: Got our first prototype up and running!, May 2020 : First prototype assembled ,0
May 2020: We built our first prototype—such an exciting milestone!, May 2020 : First prototype assembled ,1
May 2020: Assembly of the initial prototype was completed, May 2020 : First prototype assembled ,1
September 2020: Initiated prototype testing on Alfawise and Anycubic platforms.,September 2020: Prototype testing on Alfawise and Anycubic,0
September 2020: Started testing our prototype on Alfawise and Anycubic—pretty cool stuff!,September 2020: Prototype testing on Alfawise and Anycubic,0
September 2020: We kicked off some super exciting tests on our prototype using Alfawise and Anycubic!,September 2020: Prototype testing on Alfawise and Anycubic,1
September 2020: The prototype underwent testing on both Alfawise and Anycubic systems.,September 2020: Prototype testing on Alfawise and Anycubic,1
"We developed Zimpure: a compact, efficient, and discreet air purifier, specifically designed for use with 3D printers.","That’s why we’ve developed Zimpure: An efficient, compact and discrete air purifier specially designed for your 3D printers.",1
"We're excited to introduce Zimpure! It’s a game-changing air purifier that’s efficient, compact, and discreet—perfectly made for your 3D printers","That’s why we’ve developed Zimpure: An efficient, compact and discrete air purifier specially designed for your 3D printers.",1
"We're excited to introduce Zimpure! It’s a game-changing air purifier that’s efficient, compact, and discreet—perfectly made for your 3D printers","That’s why we’ve developed Zimpure: An efficient, compact and discrete air purifier specially designed for your 3D printers.",1
"Zimpure is an air purifier designed for 3D printers. It is efficient, compact, and designed to operate discreetly","That’s why we’ve developed Zimpure: An efficient, compact and discrete air purifier specially designed for your 3D printers.",1
"To ensure the highest standards, we collaborated with a specialized laboratory (LSCE, CEA) for rigorous testing, enhancement, and certification of our product","That’s why we worked with a specialized laboratory (LSCE, CEA) to test, improve and certify our product.",1
"We teamed up with the experts at LSCE, CEA to test, tweak, and get our product certified—just making sure it's all top-notch","That’s why we worked with a specialized laboratory (LSCE, CEA) to test, improve and certify our product.",1
"That’s why we partnered with the awesome folks at LSCE, CEA! Together, we tested, improved, and certified our product to bring you the best.","That’s why we worked with a specialized laboratory (LSCE, CEA) to test, improve and certify our product.",1
"Our product underwent testing, improvement, and certification in collaboration with a specialized laboratory, LSCE at CEA.","That’s why we worked with a specialized laboratory (LSCE, CEA) to test, improve and certify our product.",1
The Zimpure's 99% UFP filtration rate has been verified in a laboratory at the CEA.,Zimpure 99% UFP filtration rate is tested in a laboratory of the CEA.,1
"Zimpure’s rocking a 99% UFP filtration rate, all tested out at a CEA lab.",Zimpure 99% UFP filtration rate is tested in a laboratory of the CEA.,1
"Zimpure nails it with a 99% UFP filtration rate, all tested and proven at a CEA lab!",Zimpure 99% UFP filtration rate is tested in a laboratory of the CEA.,1
"The Zimpure air purifier achieves a 99% UFP filtration rate, as tested in a laboratory of the CEA",Zimpure 99% UFP filtration rate is tested in a laboratory of the CEA.,1
"Our team comprises Antoine and Nicolas, who are not only friends and roommates but also business partners, providing steadfast support.","They support us. Team:  Antoine & Nicolas, Friends, Roommates and Partners!",0
"Meet our team: Antoine and Nicolas, buddies, roommates, and partners in crime—they totally have our backs!","They support us. Team:  Antoine & Nicolas, Friends, Roommates and Partners!",0
"Big shoutout to our awesome team—Antoine & Nicolas! Friends, roommates, and partners making it all happen together!","They support us. Team:  Antoine & Nicolas, Friends, Roommates and Partners!",0
"The team includes Antoine and Nicolas, who are friends, roommates, and business partners, and they play a supportive role in our endeavors","They support us. Team:  Antoine & Nicolas, Friends, Roommates and Partners!",0
"Nicolas states, 'Antoine is an exceptional web developer and a diligent student in data science.","Nicolas: ""Antoine  is a fantastic Web Developer and student in Data Science.",1
"Nicolas says, 'Antoine is a killer web developer and he’s also nailing it in data science studies.'","Nicolas: ""Antoine  is a fantastic Web Developer and student in Data Science.",1
"Nicolas raves, 'Antoine is a fantastic web developer and a super smart data science student!'","Nicolas: ""Antoine  is a fantastic Web Developer and student in Data Science.",1
"According to Nicolas, 'Antoine is a skilled web developer and is currently pursuing studies in data science.","Nicolas: ""Antoine  is a fantastic Web Developer and student in Data Science.",1
We started the SoleCooler project in August 2018 to address the emerging challenges of climate change.,The SoleCooler project was born in August 2018 as a response to the new needs created by climate change.,1
We started the SoleCooler project in August 2018 because we wanted to help people cope with the effects of climate change.,The SoleCooler project was born in August 2018 as a response to the new needs created by climate change.,1
We started the SoleCooler project in August 2018 to address the challenges of a changing climate. We wanted to create a product that would help people stay cool and comfortable in the heat.,The SoleCooler project was born in August 2018 as a response to the new needs created by climate change.,1
We started the SoleCooler project in August 2018 to address the emerging challenges of climate change.,The SoleCooler project was born in August 2018 as a response to the new needs created by climate change.,1
"If you are a runner frustrated by the discomfort of running on excessively hot or frozen surfaces, or if your four-legged companion needs protection for their foot-pads during heatwaves or icy conditions, these insoles and boots were designed with you in mind.",If you’re a runner that is tired of the discomfort of running on too hot or frozen or if you have a four-legged friend that needs to protect their foot-pads during heatwaves or ice storms– we designed these insoles and boots for you!,1
"If you’re a runner who’s tired of running on hot or frozen surfaces, or if your dog needs protection for their paws during heatwaves or icy weather, we made these insoles and boots just for you!",If you’re a runner that is tired of the discomfort of running on too hot or frozen or if you have a four-legged friend that needs to protect their foot-pads during heatwaves or ice storms– we designed these insoles and boots for you!,1
Are you a runner tired of dealing with hot or frozen ground? Or do you have a furry friend that needs paw protection during heatwaves or ice storms? We’ve designed the perfect insoles and boots just for you!,If you’re a runner that is tired of the discomfort of running on too hot or frozen or if you have a four-legged friend that needs to protect their foot-pads during heatwaves or ice storms– we designed these insoles and boots for you!,1
"Whether you're a runner dealing with the discomfort of hot or frozen surfaces, or you have a four-legged friend in need of foot protection during heatwaves or ice storms, these insoles and boots were created specifically for you.",If you’re a runner that is tired of the discomfort of running on too hot or frozen or if you have a four-legged friend that needs to protect their foot-pads during heatwaves or ice storms– we designed these insoles and boots for you!,1
"From initial testing to proof of concept, our company, Solecooler, conducts its research in Computational Fluid Design in collaboration with the CNRS PROMES laboratory in Perpignan.","From first test to proof of concept : Our company Solecooler conducts its research in Computational Fluid Design, in collaboration with the CNRS (French National Center for Scientific Research) PROMES laboratory in Perpignan.",1
"From the first test to proof of concept, Solecooler is working on Computational Fluid Design with the PROMES lab at CNRS in Perpignan","From first test to proof of concept : Our company Solecooler conducts its research in Computational Fluid Design, in collaboration with the CNRS (French National Center for Scientific Research) PROMES laboratory in Perpignan.",1
"From first test to proof of concept, Solecooler is leading the way in Computational Fluid Design, teaming up with the renowned PROMES lab at CNRS in Perpignan!","From first test to proof of concept : Our company Solecooler conducts its research in Computational Fluid Design, in collaboration with the CNRS (French National Center for Scientific Research) PROMES laboratory in Perpignan.",1
"From testing to proof of concept, Solecooler conducts research in Computational Fluid Design in partnership with the CNRS PROMES laboratory located in Perpignan.","From first test to proof of concept : Our company Solecooler conducts its research in Computational Fluid Design, in collaboration with the CNRS (French National Center for Scientific Research) PROMES laboratory in Perpignan.",1
We got our first proof of concept with a small prototype: a 1 cm³ cell made from a syringe and a copper cap,Proof of concept:  The first proof of concept was obtained with a small prototype of a 1 cm3 cell consisting of a syringe on which a copper cap was attached.,1
Our first proof of concept? We whipped up a tiny prototype with just a 1 cm³ cell—a syringe with a copper cap stuck on it.,Proof of concept:  The first proof of concept was obtained with a small prototype of a 1 cm3 cell consisting of a syringe on which a copper cap was attached.,1
We nailed our first proof of concept with a cool little prototype! It's just a 1 cm³ cell made from a syringe topped with a copper cap.,Proof of concept:  The first proof of concept was obtained with a small prototype of a 1 cm3 cell consisting of a syringe on which a copper cap was attached.,1
"The initial proof of concept involved a small prototype consisting of a 1 cm³ cell, which utilized a syringe equipped with a copper cap",Proof of concept:  The first proof of concept was obtained with a small prototype of a 1 cm3 cell consisting of a syringe on which a copper cap was attached.,1
The first prototype mold was successfully fabricated using a 3D printer.,First prototype mold made thanks to 3D printer,1
"We made our first prototype mold with a 3D printer—pretty handy, right?",First prototype mold made thanks to 3D printer,0
Check it out—we whipped up our first prototype mold using a 3D printer! Super cool!,First prototype mold made thanks to 3D printer,1
The initial prototype mold was created utilizing a 3D printer,First prototype mold made thanks to 3D printer,1
OuiRun is a global app that connects runners of all levels and locations. You can join the OuiRun community of more than 10 000 users across 30 countries and find your perfect running partner.,"OuiRun is available worldwide, and there are already more than 10 000 OuiRunners in over 30 countries.",1
"OuiRun is a global app that connects runners of all levels and locations. Whether you're in Paris, New York, Tokyo or anywhere else, you can find and join over 10 000 OuiRunners in more than 30 countries.","OuiRun is available worldwide, and there are already more than 10 000 OuiRunners in over 30 countries.",1
OuiRun is a global app that connects runners of all levels and locations. Join the OuiRun community of more than 10 000 members across 30 countries and find your perfect running partner today!,"OuiRun is available worldwide, and there are already more than 10 000 OuiRunners in over 30 countries.",1
OuiRun is a global app that connects runners of all levels and locations. You can join the OuiRun community of more than 10 000 users across 30 countries and find your perfect running partner.,"OuiRun is available worldwide, and there are already more than 10 000 OuiRunners in over 30 countries.",1
OuiRun is the result of our passion and dedication for the past 18 months. We have invested our own money and time to create a high-quality app for you.,"We have been working full-time for one year and a half, using our own funds and savings to develop OuiRun in order to provide you with an accomplished app.",1
OuiRun is our passion project and we've dedicated ourselves to it for 18 months. We've used our own money and savings to make sure the app is top-notch for you.,"We have been working full-time for one year and a half, using our own funds and savings to develop OuiRun in order to provide you with an accomplished app.",1
"OuiRun is our passion project and we are dedicated to making it the best app for runners. For the past 18 months, we have invested our own time and money to create a polished and user-friendly app that meets your needs.","We have been working full-time for one year and a half, using our own funds and savings to develop OuiRun in order to provide you with an accomplished app.",1
"OuiRun is the result of our passion and dedication for 18 months, during which we invested our own money and resources to create a high-quality app for you.","We have been working full-time for one year and a half, using our own funds and savings to develop OuiRun in order to provide you with an accomplished app.",1
"Reports detail experiments conducted by the NASA Office of Commercial Programs at Johnson Space Station and the Associated Landscape Contractors of America, involving various potted plants combined with an activated charcoal filter","Reports of experiments held by NASA Office of Commercial Programs- Johnson Space Station, and the Associated Landscape Contractors of America (ALCA) with different potted plants mixed with activated charcoal filter.",1
NASA’s Office of Commercial Programs at Johnson Space Station and the folks at ALCA did some cool tests with different potted plants and activated charcoal filters,"Reports of experiments held by NASA Office of Commercial Programs- Johnson Space Station, and the Associated Landscape Contractors of America (ALCA) with different potted plants mixed with activated charcoal filter.",1
Exciting experiments from NASA’s Office of Commercial Programs at Johnson Space Station and ALCA! They've been mixing up different potted plants with activated charcoal filters—how awesome is that?,"Reports of experiments held by NASA Office of Commercial Programs- Johnson Space Station, and the Associated Landscape Contractors of America (ALCA) with different potted plants mixed with activated charcoal filter.",1
Experimental reports from the NASA Office of Commercial Programs at Johnson Space Station and the Associated Landscape Contractors of America document the use of various potted plants with activated charcoal filters.,"Reports of experiments held by NASA Office of Commercial Programs- Johnson Space Station, and the Associated Landscape Contractors of America (ALCA) with different potted plants mixed with activated charcoal filter.",1
"How it all started: As a product designer and engineer residing in Paris, coping with city pollution has increasingly interfered with enjoying simple pleasures, such as a glass of wine at home, without frequent sneezing","How it all began : As a product designer and engineer living in Paris, it's become harder to escape the city pollution and simply enjoy a glass of wine in my home without sneezing a gazillion times.",1
"How it all started: Living in Paris and working as a product designer and engineer, escaping city smog is tough. Just trying to sip some wine without sneezing like crazy is a challenge!","How it all began : As a product designer and engineer living in Paris, it's become harder to escape the city pollution and simply enjoy a glass of wine in my home without sneezing a gazillion times.",1
"Here’s how my journey began: As a product designer and engineer in Paris, escaping the relentless city pollution is a struggle! Trying to enjoy a glass of wine without sneezing non-stop? Almost impossible!","How it all began : As a product designer and engineer living in Paris, it's become harder to escape the city pollution and simply enjoy a glass of wine in my home without sneezing a gazillion times.",1
"Origin story: As a product designer and engineer based in Paris, the increasing difficulty of evading urban pollution complicates the simple enjoyment of a glass of wine at home, often resulting in persistent sneezing","How it all began : As a product designer and engineer living in Paris, it's become harder to escape the city pollution and simply enjoy a glass of wine in my home without sneezing a gazillion times.",1
"My motivation for developing Urbie Air was to find a solution for the problems of allergies, pollution, high humidity and plant care that I face every day.
","I created Urbie Air simply because I am tired of allergies, pollution, high humidity and my plants dying all the time.",1
"Urbie Air is my solution to the problems of allergies, pollution, humidity and plant care. I wanted to make a device that can purify the air, regulate the moisture and keep my plants alive and healthy.","I created Urbie Air simply because I am tired of allergies, pollution, high humidity and my plants dying all the time.",1
"Urbie Air is my solution to the problems of allergies, pollution, high humidity and plant care. I was fed up with these issues and decided to create a device that can purify the air, regulate the moisture and nourish the plants in your home.","I created Urbie Air simply because I am tired of allergies, pollution, high humidity and my plants dying all the time.",1
"My motivation for making Urbie Air was to find a solution for the problems of allergies, pollution, high humidity and plant care that I face every day.","I created Urbie Air simply because I am tired of allergies, pollution, high humidity and my plants dying all the time.",1
"After two years dedicated to research and development, along with rigorous testing and prototype development to achieve the optimal balance between aesthetics and functionality, we are now prepared to advance Urbie to the production stage.","After spending two years in R&D, testing and developing prototypes and finding the right balance between design and practicality, we're now ready to take Urbie to production stage.",1
"After grinding away for two years on R&D, testing out prototypes, and nailing the perfect mix of looks and usefulness, we’re finally ready to kick Urbie into production mode!","After spending two years in R&D, testing and developing prototypes and finding the right balance between design and practicality, we're now ready to take Urbie to production stage.",1
"We've spent an incredible two years in R&D, testing and perfecting prototypes, all to find that sweet spot between cool design and real-world practicality. Exciting news—we’re ready to move Urbie into production!","After spending two years in R&D, testing and developing prototypes and finding the right balance between design and practicality, we're now ready to take Urbie to production stage.",1
"Following two years of research and development, which included extensive testing and the refinement of prototypes to balance design with practicality, we have reached a point where Urbie is ready for production.","After spending two years in R&D, testing and developing prototypes and finding the right balance between design and practicality, we're now ready to take Urbie to production stage.",1
"We have sourced suitable factories, analyzed the logistics of fulfillment centers, and ensured that our assembly line and engineers are fully prepared","We've sourced factories, studied the logistics of fulfillment centres, and have our assembly line and engineers ready,  ",1
"We've found the right factories, figured out the best spots for fulfillment centers, and got our assembly line and engineers all set to go.","We've sourced factories, studied the logistics of fulfillment centres, and have our assembly line and engineers ready,  ",1
"We’re totally geared up! We've picked out awesome factories, sorted all the logistics for our fulfillment centers, and our assembly line and engineers are ready to rock!","We've sourced factories, studied the logistics of fulfillment centres, and have our assembly line and engineers ready,  ",1
"We have established connections with factories, studied the operational logistics of fulfillment centers, and prepared our assembly line and engineering team for production.","We've sourced factories, studied the logistics of fulfillment centres, and have our assembly line and engineers ready,  ",1
"As a pioneer among crowdfunding marketing agencies, Enventys Partners has successfully launched over 750 crowdfunding projects. Our comprehensive services include lead generation, campaign page design, public relations, email marketing, Facebook advertising, and campaign management","As one of the first crowdfunding marketing agencies, Enventys Partners has brought more than 750 crowdfunding projects to life through lead generation, campaign page creation, public relations, email marketing, Facebook Advertising, campaign management and more.",1
"Enventys Partners was one of the first to get into crowdfunding marketing, and we've already helped launch over 750 projects! We do it all: from generating leads and creating cool campaign pages to handling PR, email marketing, Facebook ads, and managing the whole campaign.","As one of the first crowdfunding marketing agencies, Enventys Partners has brought more than 750 crowdfunding projects to life through lead generation, campaign page creation, public relations, email marketing, Facebook Advertising, campaign management and more.",1
"Leading the way in crowdfunding marketing, Enventys Partners has kicked off over 750 projects! We're all about generating leads, whipping up killer campaign pages, rocking PR, email marketing, Facebook ads, and taking care of your campaign from start to finish.","As one of the first crowdfunding marketing agencies, Enventys Partners has brought more than 750 crowdfunding projects to life through lead generation, campaign page creation, public relations, email marketing, Facebook Advertising, campaign management and more.",1
"Enventys Partners, one of the inaugural crowdfunding marketing agencies, has facilitated the launch of more than 750 crowdfunding projects. Their services span lead generation, creation of campaign pages, public relations, email marketing, Facebook Advertising, and comprehensive campaign management","As one of the first crowdfunding marketing agencies, Enventys Partners has brought more than 750 crowdfunding projects to life through lead generation, campaign page creation, public relations, email marketing, Facebook Advertising, campaign management and more.",1
Our prototype has achieved full operational capability.,Our fully working prototype,1
We've got it! Our prototype is alive and kicking!,Our fully working prototype,1
Our prototype has successfully transitioned to full functionality,Our fully working prototype,1
Our prototype has successfully transitioned to full functionality.,Our fully working prototype,1
"Its sleek, eco-friendly faux-leather design ensures it is lightweight, durable, shockproof, and water-resistant.","Its elegant eco-friendly faux-leather design makes it light, robust, shockproof, and water-resistant.",1
"The stylish, eco-friendly faux-leather design makes it light, tough, shockproof, and water-resistant.","Its elegant eco-friendly faux-leather design makes it light, robust, shockproof, and water-resistant.",1
"With its elegant and eco-friendly faux-leather design, it’s not just light—it’s super durable, shockproof, and water-resistant too!","Its elegant eco-friendly faux-leather design makes it light, robust, shockproof, and water-resistant.",1
"The eco-friendly faux-leather design provides a combination of lightness, durability, shock resistance, and water resistance","Its elegant eco-friendly faux-leather design makes it light, robust, shockproof, and water-resistant.",1
